Team,Year,Date,Round_Num,Round_Num_Full,Own_MoSHBODS_Rating_Off,Own_MoSHBODS_Rating_Def,Own_MoSHBODS_Rating_Comb,Own_MoSHBODS_Rating_After_Game_Off,Own_MoSHBODS_Rating_After_Game_Def,Own_MoSHBODS_Rating_After_Game_Comb
Fitzroy,1897,8/5/1897,1,R1,0,0,0,0.096378092,0.144075249,0.240453341
Carlton,1897,8/5/1897,1,R1,0,0,0,-0.144075249,-0.096378092,-0.240453341
Collingwood,1897,8/5/1897,1,R1,0,0,0,0.039946343,0.144075249,0.184021592
St Kilda,1897,8/5/1897,1,R1,0,0,0,-0.144075249,-0.039946343,-0.184021592
Geelong,1897,8/5/1897,1,R1,0,0,0,-0.087643501,-0.005546364,-0.093189865
Essendon,1897,8/5/1897,1,R1,0,0,0,0.005546364,0.087643501,0.093189865
Sydney,1897,8/5/1897,1,R1,0,0,0,-0.043464458,-0.022746354,-0.066210812
Melbourne,1897,8/5/1897,1,R1,0,0,0,0.022746354,0.043464458,0.066210812
Sydney,1897,15/5/1897,2,R2,-0.043464458,-0.022746354,-0.066210812,-0.078914524,-0.006679897,-0.085594422
Carlton,1897,15/5/1897,2,R2,-0.144075249,-0.096378092,-0.240453341,-0.160141706,-0.060928025,-0.221069731
Essendon,1897,15/5/1897,2,R2,0.005546364,0.087643501,0.093189865,-0.030612689,0.092300922,0.061688233
Collingwood,1897,15/5/1897,2,R2,0.039946343,0.144075249,0.184021592,0.035288922,0.180234302,0.215523224
St Kilda,1897,15/5/1897,2,R2,-0.144075249,-0.039946343,-0.184021592,-0.161906324,-0.110561442,-0.272467766
Fitzroy,1897,15/5/1897,2,R2,0.096378092,0.144075249,0.240453341,0.16699319,0.161906324,0.328899514
Melbourne,1897,15/5/1897,2,R2,0.022746354,0.043464458,0.066210812,0.132030602,0.165335652,0.297366253
Geelong,1897,15/5/1897,2,R2,-0.087643501,-0.005546364,-0.093189865,-0.209514695,-0.114830612,-0.324345306
Collingwood,1897,22/5/1897,3,R3,0.035288922,0.180234302,0.215523224,0.003237319,0.155250304,0.158487624
Geelong,1897,22/5/1897,3,R3,-0.209514695,-0.114830612,-0.324345306,-0.184530697,-0.082779009,-0.267309706
Fitzroy,1897,22/5/1897,3,R3,0.16699319,0.161906324,0.328899514,0.172015916,0.119779571,0.291795487
Melbourne,1897,22/5/1897,3,R3,0.132030602,0.165335652,0.297366253,0.174157355,0.160312926,0.33447028
Essendon,1897,24/5/1897,3,R3,-0.030612689,0.092300922,0.061688233,0.081491976,0.084549857,0.166041834
Carlton,1897,24/5/1897,3,R3,-0.160141706,-0.060928025,-0.221069731,-0.152390641,-0.17303269,-0.325423331
Sydney,1897,24/5/1897,3,R3,-0.078914524,-0.006679897,-0.085594422,0.008320426,0.14753908,0.155859506
St Kilda,1897,24/5/1897,3,R3,-0.161906324,-0.110561442,-0.272467766,-0.316125301,-0.197796392,-0.513921693
Geelong,1897,29/5/1897,4,R4,-0.184530697,-0.082779009,-0.267309706,-0.126514645,-0.009724896,-0.13623954
Carlton,1897,29/5/1897,4,R4,-0.152390641,-0.17303269,-0.325423331,-0.225444755,-0.231048743,-0.456493497
Sydney,1897,29/5/1897,4,R4,0.008320426,0.14753908,0.155859506,0.045330817,0.184856433,0.23018725
Collingwood,1897,29/5/1897,4,R4,0.003237319,0.155250304,0.158487624,-0.034080034,0.118239913,0.084159879
Fitzroy,1897,29/5/1897,4,R4,0.172015916,0.119779571,0.291795487,0.105779946,0.119065159,0.224845105
Essendon,1897,29/5/1897,4,R4,0.081491976,0.084549857,0.166041834,0.082206388,0.150785828,0.232992216
Melbourne,1897,29/5/1897,4,R4,0.174157355,0.160312926,0.33447028,0.264425596,0.122907453,0.387333049
St Kilda,1897,29/5/1897,4,R4,-0.316125301,-0.197796392,-0.513921693,-0.278719828,-0.288064634,-0.566784462
Melbourne,1897,5/6/1897,5,R5,0.264425596,0.122907453,0.387333049,0.468192888,0.127960515,0.596153404
Carlton,1897,5/6/1897,5,R5,-0.225444755,-0.231048743,-0.456493497,-0.230497817,-0.434816035,-0.665313852
Collingwood,1897,5/6/1897,5,R5,-0.034080034,0.118239913,0.084159879,-0.034627055,0.159854031,0.125226976
Fitzroy,1897,5/6/1897,5,R5,0.105779946,0.119065159,0.224845105,0.064165828,0.11961218,0.183778008
St Kilda,1897,5/6/1897,5,R5,-0.278719828,-0.288064634,-0.566784462,-0.279606209,-0.330948251,-0.61055446
Essendon,1897,5/6/1897,5,R5,0.082206388,0.150785828,0.232992216,0.125090005,0.151672209,0.276762214
Geelong,1897,5/6/1897,5,R5,-0.126514645,-0.009724896,-0.13623954,0.014736314,0.048016939,0.062753253
Sydney,1897,5/6/1897,5,R5,0.045330817,0.184856433,0.23018725,-0.012411017,0.043605474,0.031194457
St Kilda,1897,19/6/1897,6,R6,-0.279606209,-0.330948251,-0.61055446,-0.341209314,-0.293458117,-0.634667431
Carlton,1897,19/6/1897,6,R6,-0.230497817,-0.434816035,-0.665313852,-0.267987951,-0.37321293,-0.641200881
Melbourne,1897,19/6/1897,6,R6,0.468192888,0.127960515,0.596153404,0.393242858,0.143811787,0.537054644
Collingwood,1897,19/6/1897,6,R6,-0.034627055,0.159854031,0.125226976,-0.050478326,0.234804062,0.184325735
Sydney,1897,19/6/1897,6,R6,-0.012411017,0.043605474,0.031194457,-0.087523505,0.069363826,-0.018159679
Essendon,1897,19/6/1897,6,R6,0.125090005,0.151672209,0.276762214,0.099331653,0.226784697,0.32611635
Geelong,1897,19/6/1897,6,R6,0.014736314,0.048016939,0.062753253,0.028099837,0.138776971,0.166876808
Fitzroy,1897,19/6/1897,6,R6,0.064165828,0.11961218,0.183778008,-0.026594204,0.106248658,0.079654454
Carlton,1897,22/6/1897,7,R7,-0.267987951,-0.37321293,-0.641200881,-0.258809282,-0.337675768,-0.596485049
Collingwood,1897,22/6/1897,7,R7,-0.050478326,0.234804062,0.184325735,-0.086015489,0.225625393,0.139609904
Essendon,1897,22/6/1897,7,R7,0.099331653,0.226784697,0.32611635,0.203229281,0.262571859,0.46580114
Melbourne,1897,22/6/1897,7,R7,0.393242858,0.143811787,0.537054644,0.357455695,0.039914159,0.397369854
Fitzroy,1897,22/6/1897,7,R7,-0.026594204,0.106248658,0.079654454,0.018719022,0.052157374,0.070876396
Sydney,1897,22/6/1897,7,R7,-0.087523505,0.069363826,-0.018159679,-0.033432222,0.024050601,-0.009381621
St Kilda,1897,22/6/1897,7,R7,-0.341209314,-0.293458117,-0.634667431,-0.330453761,-0.51658048,-0.847034242
Geelong,1897,22/6/1897,7,R7,0.028099837,0.138776971,0.166876808,0.2512222,0.128021419,0.379243618
Carlton,1897,26/6/1897,8,R8,-0.258809282,-0.337675768,-0.596485049,-0.339584725,-0.38364125,-0.723225975
Fitzroy,1897,26/6/1897,8,R8,0.018719022,0.052157374,0.070876396,0.064684504,0.132932818,0.197617321
St Kilda,1897,26/6/1897,8,R8,-0.330453761,-0.51658048,-0.847034242,-0.327748793,-0.532928451,-0.860677244
Collingwood,1897,26/6/1897,8,R8,-0.086015489,0.225625393,0.139609904,-0.069667519,0.222920425,0.153252906
Essendon,1897,26/6/1897,8,R8,0.203229281,0.262571859,0.46580114,0.144199294,0.208694925,0.352894219
Geelong,1897,26/6/1897,8,R8,0.2512222,0.128021419,0.379243618,0.305099134,0.187051405,0.492150539
Melbourne,1897,26/6/1897,8,R8,0.357455695,0.039914159,0.397369854,0.248315612,-0.048839833,0.19947578
Sydney,1897,26/6/1897,8,R8,-0.033432222,0.024050601,-0.009381621,0.05532177,0.133190684,0.188512454
Carlton,1897,3/7/1897,9,R9,-0.339584725,-0.38364125,-0.723225975,-0.354239732,-0.437088245,-0.791327976
Sydney,1897,3/7/1897,9,R9,0.05532177,0.133190684,0.188512454,0.108768764,0.147845691,0.256614455
Collingwood,1897,3/7/1897,9,R9,-0.069667519,0.222920425,0.153252906,-0.061995247,0.187863694,0.125868446
Essendon,1897,3/7/1897,9,R9,0.144199294,0.208694925,0.352894219,0.179256025,0.201022653,0.380278679
Fitzroy,1897,3/7/1897,9,R9,0.064684504,0.132932818,0.197617321,0.181783639,0.162115101,0.34389874
St Kilda,1897,3/7/1897,9,R9,-0.327748793,-0.532928451,-0.860677244,-0.356931077,-0.650027585,-1.006958662
Geelong,1897,3/7/1897,9,R9,0.305099134,0.187051405,0.492150539,0.223147363,0.245698955,0.468846318
Melbourne,1897,3/7/1897,9,R9,0.248315612,-0.048839833,0.19947578,0.189668063,0.033111938,0.222780001
Carlton,1897,10/7/1897,10,R10,-0.354239732,-0.437088245,-0.791327976,-0.414352706,-0.421821586,-0.836174291
Essendon,1897,10/7/1897,10,R10,0.179256025,0.201022653,0.380278679,0.163989366,0.261135628,0.425124994
Geelong,1897,10/7/1897,10,R10,0.223147363,0.245698955,0.468846318,0.258382876,0.311226894,0.56960977
Collingwood,1897,10/7/1897,10,R10,-0.061995247,0.187863694,0.125868446,-0.127523187,0.152628181,0.025104994
Melbourne,1897,10/7/1897,10,R10,0.189668063,0.033111938,0.222780001,0.202902495,0.072104634,0.275007129
Fitzroy,1897,10/7/1897,10,R10,0.181783639,0.162115101,0.34389874,0.142790942,0.148880669,0.291671612
St Kilda,1897,10/7/1897,10,R10,-0.356931077,-0.650027585,-1.006958662,-0.430709619,-0.696670178,-1.127379798
Sydney,1897,10/7/1897,10,R10,0.108768764,0.147845691,0.256614455,0.155411358,0.221624233,0.377035591
Carlton,1897,17/7/1897,11,R11,-0.414352706,-0.421821586,-0.836174291,-0.438326609,-0.458661308,-0.896987916
Geelong,1897,17/7/1897,11,R11,0.258382876,0.311226894,0.56960977,0.295222598,0.335200797,0.630423395
Collingwood,1897,17/7/1897,11,R11,-0.127523187,0.152628181,0.025104994,-0.178348391,0.142310465,-0.036037927
Sydney,1897,17/7/1897,11,R11,0.155411358,0.221624233,0.377035591,0.165729074,0.272449437,0.438178512
Essendon,1897,17/7/1897,11,R11,0.163989366,0.261135628,0.425124994,0.216537551,0.283937758,0.500475309
Fitzroy,1897,17/7/1897,11,R11,0.142790942,0.148880669,0.291671612,0.119988812,0.096332484,0.216321296
St Kilda,1897,17/7/1897,11,R11,-0.430709619,-0.696670178,-1.127379798,-0.456737719,-0.72107909,-1.177816809
Melbourne,1897,17/7/1897,11,R11,0.202902495,0.072104634,0.275007129,0.227311406,0.098132734,0.32544414
Carlton,1897,24/7/1897,12,R12,-0.438326609,-0.458661308,-0.896987916,-0.456661705,-0.4663464,-0.923008104
Melbourne,1897,24/7/1897,12,R12,0.227311406,0.098132734,0.32544414,0.234996498,0.116467831,0.351464329
Fitzroy,1897,24/7/1897,12,R12,0.119988812,0.096332484,0.216321296,0.0713968,0.035958655,0.107355455
Collingwood,1897,24/7/1897,12,R12,-0.178348391,0.142310465,-0.036037927,-0.117974563,0.190902477,0.072927914
